board,mark,label,move_num
000000000000000000000000000000000000000000,1,W,1
000000000000000000000000000000000000001000,2,L,2
000000000000000000000000000000000000201000,1,W,3
000000000000000000000000000000000000211000,2,L,4
000000000000000000000000000002000000211000,1,W,5
000000000000000000000010000002000000211000,2,L,6
000000000000000000000010000002200000211000,1,W,7
000000000000000000000010000002200000211010,2,L,8
000000000000000000000010000002200200211010,1,W,9
000000000000000000000010000002200200211110,2,L,10
000000000000000000000010002002200200211110,1,W,11
000000000000000000000000000000000000000000,1,W,12
000000000000000000000000000000000000001000,2,L,13
000000000000000000000000000000000000001002,1,W,14
000000000000000000000000000000000001001002,2,L,15
000000000000000000000000000000000001021002,1,W,16
000000000000000000000000000000010001021002,2,L,17
000000000000000000000000000000010001021022,1,W,18
000000000000000000000000000000110001021022,2,L,19
000000000000000000000000200000110001021022,1,W,20
000000000000000000000000200000110101021022,2,L,21
000000000000000000000002200000110101021022,1,W,22
000000000000000010000002200000110101021022,2,L,23
000000000000000010000002202000110101021022,1,W,24
000000000000000010000002202010110101021022,2,L,25
000000000000000010000002202010110121021022,1,W,26
000000000000000010000002202010110121121022,2,L,27
000000000000000010000002202210110121121022,1,W,28
000000000000000010001002202210110121121022,2,L,29
000000000000000010001002202212110121121022,1,W,30
000000000000000010001012202212110121121022,2,L,31
000000000000000010021012202212110121121022,1,W,32
000000000000100010021012202212110121121022,2,L,33
000000000000100010021012202212110121121222,1,W,34
000000000000100010021112202212110121121222,2,L,35
000000000000102010021112202212110121121222,1,W,36
000000010000102010021112202212110121121222,2,L,37
000000010000122010021112202212110121121222,1,W,38
100000010000122010021112202212110121121222,2,L,39
100000010000122010021112202212112121121222,1,W,40
100000010000122011021112202212112121121222,2,L,41
100000010020122011021112202212112121121222,1,W,42
100000010020122011021112212212112121121222,2,L,43
100200010020122011021112212212112121121222,1,W,44
100200010020122111021112212212112121121222,2,L,45
100200012020122111021112212212112121121222,1,W,46
000000000000000000000000000000000000000000,1,W,47
000000000000000000000000000000000000001000,2,L,48
000000000000000000000000000000000000201000,1,W,49
000000000000000000000000000001000000201000,2,L,50
000000000000000000000000000001000000201020,1,W,51
000000000000000000000000000001000000201120,2,L,52
000000000000000000000000000001002000201120,1,W,53
000000000000000000000000010001002000201120,2,L,54
000000000000000000200000010001002000201120,1,W,55
000000000000000000200010010001002000201120,2,L,56
000000000000000200200010010001002000201120,1,W,57
000000000000000200200010010001002001201120,2,L,58
000000000000000200200010010001022001201120,1,W,59
000000000000000200200010010001022101201120,2,L,60
000000000000000200200010210001022101201120,1,W,61
000000000000000201200010210001022101201120,2,L,62
000000000000000201200010210001022101201122,1,W,63
000000000010000201200010210001022101201122,2,L,64
000000002010000201200010210001022101201122,1,W,65
000000002010000201200010210001022111201122,2,L,66
000000002010000201200010210021022111201122,1,W,67
000100002010000201200010210021022111201122,2,L,68
000100002012000201200010210021022111201122,1,W,69
000110002012000201200010210021022111201122,2,L,70
020110002012000201200010210021022111201122,1,W,71
020110002012000201200010211021022111201122,2,L,72
020110002012000201220010211021022111201122,1,W,73
020110002012000201220110211021022111201122,2,L,74
020110002012200201220110211021022111201122,1,W,75
020110002012200201220110211121022111201122,2,L,76
020112002012200201220110211121022111201122,1,W,77
020112002012200201221110211121022111201122,2,L,78
020112002012200201221110211121022111221122,1,W,79
020112002012200201221110211121122111221122,2,L,80
020112002012220201221110211121122111221122,1,W,81
000000000000000000000000000000000000000000,1,W,82
000000000000000000000000000000000000001000,2,L,83
000000000000000000000000000000000000201000,1,W,84
000000000000000000000000000000000000201100,2,L,85
000000000000000000000000000000000000201120,1,W,86
000000000000000000000000000000001000201120,2,L,87
000000000000000000000000000000001000221120,1,W,88
000000000000000000000000010000001000221120,2,L,89
000000000000000000200000010000001000221120,1,W,90
000000000000000000200000010000101000221120,2,L,91
000000000000000000200000010000121000221120,1,W,92
000000000000000000200001010000121000221120,2,L,93
000000000000000020200001010000121000221120,1,W,94
000000000100000020200001010000121000221120,2,L,95
000000000100000020200001010000121002221120,1,W,96
000000000100000020200001010000121102221120,2,L,97
000000000100000020200001012000121102221120,1,W,98
000000000101000020200001012000121102221120,2,L,99
000000000101000020220001012000121102221120,1,W,100
000000000101000020220001012000121102221121,2,L,101
000000000101000020220001012000121122221121,1,W,102
001000000101000020220001012000121122221121,2,L,103
001000000101000020220001012002121122221121,1,W,104
001000000101000020220011012002121122221121,2,L,105
001020000101000020220011012002121122221121,1,W,106
001020000101100020220011012002121122221121,2,L,107
001020000101100020220011012202121122221121,1,W,108
001020000101100020220011112202121122221121,2,L,109
001020000101100020220011112222121122221121,1,W,110
000000000000000000000000000000000000000000,1,W,111
000000000000000000000000000000000000001000,2,L,112
000000000000000000000000000000000000201000,1,W,113
000000000000000000000000000000000000201100,2,L,114
000000000000000000000000000000000000201120,1,W,115
000000000000000000000000000000001000201120,2,L,116
000000000000000000000000000000001000201122,1,W,117
000000000000000000000000000000011000201122,2,L,118
000000000000000000000000000000011020201122,1,W,119
000000000000000000000000010000011020201122,2,L,120
000000000000000000000000010200011020201122,1,W,121
000000000000000000000000000000000000000000,1,L,122
000000000000000000000000000000000000001000,2,W,123
000000000000000000000000000000000000201000,1,L,124
000000000000000000000000000000000000201100,2,W,125
000000000000000000000000000000000000201120,1,L,126
000000000000000000000000000000001000201120,2,W,127
000000000000000000000000000000021000201120,1,L,128
000000000000000000000000010000021000201120,2,W,129
000000000000000000200000010000021000201120,1,L,130
000000000000000000200000010000021100201120,2,W,131
000000000000000000200000012000021100201120,1,L,132
000000000000000000200000012000021100201121,2,W,133
000000000000000000200000012000021120201121,1,L,134
000000000000000000210000012000021120201121,2,W,135
000000000000000000210000012002021120201121,1,L,136
000000000000000000210000012102021120201121,2,W,137
000000000000000000212000012102021120201121,1,L,138
000000000000000000212000112102021120201121,2,W,139
000000000000000000212020112102021120201121,1,L,140
000000000000100000212020112102021120201121,2,W,141
000000000000100002212020112102021120201121,1,L,142
000000000000110002212020112102021120201121,2,W,143
000000000000000000000000000000000000000000,1,W,144
000000000000000000000000000000000000001000,2,L,145
000000000000000000000000000000000002001000,1,W,146
000000000000000000000000000000000002001100,2,L,147
000000000000000000000000000000000002001120,1,W,148
000000000000000000000000000000000002101120,2,L,149
000000000000000000000000000000000002121120,1,W,150
000000000000000000000000000001000002121120,2,L,151
000000000000000000000000000001200002121120,1,W,152
000000000000000000000000000001210002121120,2,L,153
000000000000000000000002000001210002121120,1,W,154
000000000000000010000002000001210002121120,2,L,155
000000000000000010000002000021210002121120,1,W,156
000000000000000010000012000021210002121120,2,L,157
000000000000000210000012000021210002121120,1,W,158
000000000000000210000012100021210002121120,2,L,159
000000000000000212000012100021210002121120,1,W,160
000000000000000212000012100021211002121120,2,L,161
000000000000000212000012100021211002121122,1,W,162
000000000000000000000000000000000000000000,1,L,163
000000000000000000000000000000000000001000,2,W,164
000000000000000000000000000000000000201000,1,L,165
000000000000000000000000000000000000201100,2,W,166
000000000000000000000000000000000000201120,1,L,167
000000000000000000000000000000001000201120,2,W,168
000000000000000000000000000000021000201120,1,L,169
000000000000000000000000000000021001201120,2,W,170
000000000000000000000000020000021001201120,1,L,171
000000000000000000100000020000021001201120,2,W,172
000000000000000000100000020000021001221120,1,L,173
000000000000000000100000120000021001221120,2,W,174
000000000000000002100000120000021001221120,1,L,175
000000000010000002100000120000021001221120,2,W,176
000000000010000002100000120000221001221120,1,L,177
000000000010000002100000120000221101221120,2,W,178
000000000010000002100002120000221101221120,1,L,179
000000000010000002100002120000221101221121,2,W,180
000000000000000000000000000000000000000000,1,W,181
000000000000000000000000000000000000001000,2,L,182
000000000000000000000000000000000000201000,1,W,183
000000000000000000000000000000000000201100,2,L,184
000000000000000000000000000000000000201120,1,W,185
000000000000000000000000000000001000201120,2,L,186
000000000000000000000000000000001200201120,1,W,187
000000000000000000000000010000001200201120,2,L,188
000000000000000000000000012000001200201120,1,W,189
000000000000000000000000000000000000000000,1,W,190
000000000000000000000000000000000000001000,2,L,191
000000000000000000000000000000000000201000,1,W,192
000000000000000000000000000000000000201100,2,L,193
000000000000000000000000000000000000201120,1,W,194
000000000000000000000000000000001000201120,2,L,195
000000000000000000000000000000001000201122,1,W,196
000000000000000000000000000000011000201122,2,L,197
000000000000000000000000000000011020201122,1,W,198
000000000000000000000000000000011021201122,2,L,199
000000000000000000000000000002011021201122,1,W,200
000000000000000000000000010002011021201122,2,L,201
000000000000000000200000010002011021201122,1,W,202
000000000000000000200000010002011121201122,2,L,203
000000000000000000200000010002011121221122,1,W,204
000000000000000000000000000000000000000000,1,L,205
